year,month,precip,temp
2024,3,142.4,22.0355
2024,4,54.3,21.06
2024,5,38.4,20.3097
2024,6,6.0,18.23
2024,7,36.9,16.229
2024,8,58.2,17.0129
2024,9,14.3,21.78
2024,10,91.3,19.9613
2024,11,199.4,21.2367
2024,12,235.5,22.1903
2025,1,307.9,22.7129
2025,2,123.9,24.6
2025,3,115.5,22.8097
2025,4,139.2,19.9767
2025,5,24.5,18.9194
2025,6,49.0,16.8767
2025,7,10.5,15.5581
2025,8,29.4,17.2871
2025,9,18.3,19.2667
2025,10,150.8,19.2645
2025,11,154.2,20.2433
2025,12,162.1,23.6903
2026,1,282.0,21.8484
2026,2,280.9,22.4929
2026,3,171.1,21.8484
2026,4,110.6,21.2967
2026,5,98.0,18.1355
2026,6,96.1,16.3867
2026,7,26.3,17.5452
