year,month,precip,temp
1959,3,183.4,20.2323
1959,4,67.9,21.4233
1959,5,67.3,17.7613
1959,6,31.3,15.9733
1959,7,4.3,18.429
1959,8,76.5,17.8839
1959,9,12.4,20.17
1959,10,79.3,20.7871
1959,11,186.2,20.1067
1959,12,176.0,20.8677
1960,1,151.0,21.3613
1960,2,176.7,20.0414
1960,3,138.2,20.4161
1960,4,99.4,18.8267
1960,5,122.0,15.2903
1960,6,44.3,15.67
1960,7,4.3,15.5516
1960,8,40.3,17.3548
1960,9,147.6,19.46
1960,10,170.9,21.871
1960,11,217.8,20.1333
1960,12,258.5,21.3419
1961,1,128.0,21.8387
1961,2,228.0,22.0714
1961,3,165.5,21.4355
1961,4,77.1,20.7467
1961,5,50.8,18.8581
1961,6,32.0,17.46
1961,7,16.2,17.6355
1961,8,1.7,20.3194
1961,9,11.3,23.7967
1961,10,59.4,23.4774
1961,11,230.6,21.1233
1961,12,230.3,21.2419
1962,1,306.8,20.7613
1962,2,286.3,20.7679
1962,3,303.5,21.0677
1962,4,132.8,19.18
1962,5,57.1,16.371
1962,6,33.4,14.47
1962,7,47.2,14.3129
1962,8,56.0,16.7484
1962,9,66.1,18.2867
1962,10,149.6,17.2097
1962,11,87.6,19.2767
1962,12,295.6,20.2387
1963,1,271.9,22.2871
1963,2,236.1,21.1071
1963,3,163.6,21.929
1963,4,25.6,19.1933
1963,5,15.5,17.2968
1963,6,33.7,16.3433
1963,7,11.9,17.3935
1963,8,14.9,18.8742
1963,9,47.7,22.0967
1963,10,115.1,21.0
1963,11,172.8,21.7
1963,12,170.5,20.6613
1964,1,121.9,20.571
1964,2,315.4,21.331
1964,3,137.0,20.7
1964,4,98.6,19.9833
1964,5,51.3,17.1516
1964,6,66.0,15.53
1964,7,97.5,13.6645
1964,8,44.1,16.9161
1964,9,84.8,18.9567
1964,10,237.8,18.1258
1964,11,122.0,18.07
1964,12,233.1,19.6226
1965,1,288.4,20.7484
1965,2,261.5,21.2179
1965,3,177.8,19.8742
1965,4,73.3,19.7433
1965,5,88.7,17.5387
1965,6,29.8,17.5667
1965,7,81.3,15.4935
1965,8,12.8,18.5613
1965,9,58.4,20.67
1965,10,189.9,19.5129
1965,11,168.5,20.2667
1965,12,316.9,21.8484
1966,1,351.6,22.3774
1966,2,229.4,23.1036
1966,3,164.4,21.6871
1966,4,65.0,19.8267
1966,5,57.4,17.9419
1966,6,5.6,17.5067
1966,7,60.0,16.6903
1966,8,79.0,15.9226
1966,9,62.5,17.7433
1966,10,232.6,18.771
1966,11,148.9,19.29
1966,12,341.6,21.2677
1967,1,206.8,21.4839
1967,2,191.1,22.0821
1967,3,177.7,21.0935
1967,4,41.7,19.91
1967,5,3.8,19.2258
1967,6,83.4,16.9533
1967,7,50.9,16.3032
1967,8,4.0,19.4323
1967,9,57.6,19.32
1967,10,133.1,21.2935
1967,11,166.0,19.52
1967,12,147.0,19.4613
1968,1,118.9,21.4516
1968,2,90.8,20.4655
1968,3,214.0,20.5613
1968,4,62.1,17.5033
1968,5,39.4,15.029
1968,6,4.5,15.63
1968,7,12.1,15.2258
1968,8,66.5,15.8323
1968,9,42.5,17.5767
1968,10,148.4,19.0839
1968,11,71.5,21.4933
1968,12,148.9,21.5903
1969,1,121.4,23.0387
1969,2,168.5,22.9929
1969,3,97.7,21.8613
1969,4,45.1,19.4833
1969,5,23.8,18.7161
1969,6,19.3,17.09
1969,7,5.5,16.4129
1969,8,30.3,17.8968
1969,9,31.7,20.8567
1969,10,136.1,17.8742
1969,11,217.2,20.7867
1969,12,128.2,19.6903
1970,1,185.1,21.8
1970,2,236.2,22.1464
1970,3,124.7,21.8806
1970,4,40.1,19.67
1970,5,58.9,18.7645
1970,6,60.2,17.4067
1970,7,31.5,15.3419
1970,8,83.1,16.6161
1970,9,107.2,17.4267
1970,10,86.9,18.9419
1970,11,92.5,18.5233
1970,12,136.4,23.0419
1971,1,125.6,23.4
1971,2,101.7,23.4429
1971,3,138.7,21.9194
1971,4,64.6,19.1533
1971,5,65.5,17.0161
1971,6,97.6,15.6467
1971,7,31.3,15.9806
1971,8,25.6,17.1129
1971,9,107.8,18.2533
1971,10,118.0,17.9742
1971,11,87.9,18.8767
1971,12,232.0,20.9516
1972,1,319.7,22.4065
1972,2,171.2,21.4828
1972,3,109.9,22.1065
1972,4,67.9,18.1933
1972,5,39.1,18.4645
1972,6,4.9,18.2333
1972,7,83.5,16.471
1972,8,120.0,17.2516
1972,9,113.8,18.4067
1972,10,200.8,19.1806
1972,11,188.1,20.6167
1972,12,189.9,21.1806
1973,1,138.1,23.1194
1973,2,123.8,23.4464
1973,3,162.0,21.1419
1973,4,99.7,21.8333
1973,5,84.3,17.6419
1973,6,23.1,18.1833
1973,7,72.1,17.0677
1973,8,33.6,16.4161
1973,9,134.3,17.3367
1973,10,158.3,18.171
1973,11,209.0,18.4367
1973,12,297.9,21.029
1974,1,238.6,21.7419
1974,2,136.5,22.525
1974,3,227.3,21.2871
1974,4,111.5,19.1267
1974,5,30.3,17.9613
1974,6,135.3,15.72
1974,7,12.2,16.5677
1974,8,39.8,17.5871
1974,9,99.3,18.86
1974,10,170.9,18.7065
1974,11,113.7,19.9833
1974,12,185.3,20.0935
1975,1,175.6,21.1129
1975,2,329.7,22.1536
1975,3,101.7,21.6032
1975,4,52.1,18.7967
1975,5,23.4,16.871
1975,6,14.7,16.5
1975,7,57.9,14.4548
1975,8,6.2,19.3903
1975,9,54.5,19.2467
1975,10,176.7,19.2097
1975,11,263.5,19.69
1975,12,195.9,21.7452
1976,1,152.0,22.4194
1976,2,251.6,20.7621
1976,3,160.8,20.9613
1976,4,139.4,19.1933
1976,5,176.4,16.9903
1976,6,165.1,15.9067
1976,7,182.2,15.1839
1976,8,128.9,16.7161
1976,9,249.5,16.7267
1976,10,96.0,17.9516
1976,11,143.3,20.1267
1976,12,290.0,21.1032
1977,1,360.0,21.9032
1977,2,38.5,24.0036
1977,3,155.0,22.6839
1977,4,112.7,19.3233
1977,5,25.1,17.9839
1977,6,59.1,17.1733
1977,7,4.7,19.0645
1977,8,42.0,19.0613
1977,9,115.3,18.9333
1977,10,84.3,20.3
1977,11,264.5,20.1467
1977,12,200.8,20.1323
1978,1,159.8,22.9484
1978,2,118.4,22.1571
1978,3,169.7,22.1484
1978,4,34.6,18.5733
1978,5,133.1,16.6
1978,6,10.1,15.4667
1978,7,18.3,17.3129
1978,8,37.8,16.4
1978,9,53.3,17.62
1978,10,120.6,20.3097
1978,11,215.3,20.3767
1978,12,219.4,20.929
1979,1,130.2,19.3355
1979,2,121.3,21.6571
1979,3,175.4,19.9323
1979,4,92.2,18.4067
1979,5,113.1,17.6452
1979,6,16.8,15.0467
1979,7,63.2,14.8742
1979,8,68.8,18.1516
1979,9,200.1,17.0533
1979,10,128.3,20.3806
1979,11,134.0,19.47
1979,12,205.6,21.1806
1980,1,178.2,20.8645
1980,2,166.4,21.8448
1980,3,98.9,22.8968
1980,4,81.3,20.12
1980,5,25.6,18.8871
1980,6,48.4,15.9067
1980,7,40.6,16.2613
1980,8,86.8,17.3839
1980,9,102.5,16.08
1980,10,118.1,19.2742
1980,11,124.2,19.58
1980,12,272.5,21.971
1981,1,324.6,21.6871
1981,2,100.4,22.6179
1981,3,162.1,21.2065
1981,4,64.6,18.7967
1981,5,12.8,18.4935
1981,6,85.6,14.9733
1981,7,130.6,13.5581
1981,8,50.3,16.3742
1981,9,81.2,19.0267
1981,10,150.8,17.3839
1981,11,139.4,20.7867
1981,12,179.4,20.6194
1982,1,180.1,19.9355
1982,2,164.1,22.3786
1982,3,257.7,20.4806
1982,4,44.0,17.9967
1982,5,58.5,16.6226
1982,6,97.0,17.63
1982,7,54.1,16.771
1982,8,66.3,17.5452
1982,9,24.4,18.0733
1982,10,198.9,19.3097
1982,11,183.2,21.6667
1982,12,316.3,20.2968
1983,1,215.5,21.9129
1983,2,231.8,22.5929
1983,3,224.2,20.9355
1983,4,156.8,19.95
1983,5,154.4,19.0935
1983,6,237.1,16.38
1983,7,36.5,17.4581
1983,8,22.5,16.8194
1983,9,306.2,16.4967
1983,10,157.7,18.6097
1983,11,127.7,20.6333
1983,12,212.5,21.3097
1984,1,153.2,23.4323
1984,2,61.2,24.1621
1984,3,144.8,21.2774
1984,4,113.1,19.2467
1984,5,96.4,19.7194
1984,6,8.1,17.7967
1984,7,10.3,17.0742
1984,8,99.7,15.5387
1984,9,131.9,17.13
1984,10,50.2,19.9387
1984,11,181.3,20.4567
1984,12,185.7,20.129
1985,1,240.6,20.3258
1985,2,211.1,22.5464
1985,3,134.2,21.7742
1985,4,101.4,20.49
1985,5,35.4,17.4226
1985,6,17.8,14.91
1985,7,6.4,15.1387
1985,8,35.4,18.3355
1985,9,47.4,18.27
1985,10,59.9,19.9194
1985,11,141.3,20.44
1985,12,171.5,20.8871
1986,1,181.2,22.6419
1986,2,208.0,22.5071
1986,3,340.2,21.4516
1986,4,55.0,20.73
1986,5,84.0,19.3871
