var,lead,season_year,season,p_abaixo,p_normal,p_acima,obs_cat
precipitacao,3,2020,FMA,0.2740,0.4670,0.2590,0
precipitacao,3,2021,FMA,0.2864,0.4503,0.2633,0
precipitacao,3,2022,FMA,0.2404,0.5028,0.2569,0
precipitacao,3,2023,FMA,0.2952,0.4842,0.2206,2
precipitacao,3,2024,FMA,0.3594,0.3608,0.2798,1
precipitacao,3,2025,FMA,0.3605,0.3935,0.2460,1
precipitacao,3,1980,MAM,0.2562,0.2783,0.4655,0
precipitacao,3,1981,MAM,0.2539,0.3064,0.4398,0
precipitacao,3,1982,MAM,0.2890,0.3084,0.4026,2
precipitacao,3,1983,MAM,0.2950,0.2408,0.4642,2
precipitacao,3,1984,MAM,0.3012,0.3194,0.3794,2
precipitacao,3,1985,MAM,0.3104,0.3395,0.3501,1
precipitacao,3,1986,MAM,0.2988,0.3143,0.3868,2
precipitacao,3,1987,MAM,0.2810,0.2329,0.4861,1
precipitacao,3,1988,MAM,0.2962,0.2747,0.4292,2
precipitacao,3,1989,MAM,0.3303,0.3509,0.3188,1
precipitacao,3,1990,MAM,0.3092,0.3160,0.3748,2
precipitacao,3,1991,MAM,0.3094,0.3102,0.3804,2
precipitacao,3,1992,MAM,0.3299,0.2871,0.3830,2
precipitacao,3,1993,MAM,0.3370,0.3114,0.3516,2
precipitacao,3,1994,MAM,0.3180,0.3511,0.3309,2
precipitacao,3,1995,MAM,0.3227,0.2526,0.4246,1
precipitacao,3,1996,MAM,0.3300,0.3403,0.3297,2
precipitacao,3,1997,MAM,0.2927,0.3949,0.3124,0
precipitacao,3,1998,MAM,0.3858,0.3010,0.3131,2
precipitacao,3,1999,MAM,0.3199,0.3646,0.3154,0
precipitacao,3,2000,MAM,0.3258,0.3226,0.3515,0
precipitacao,3,2001,MAM,0.3459,0.3779,0.2762,1
precipitacao,3,2002,MAM,0.3336,0.2902,0.3762,1
precipitacao,3,2003,MAM,0.3171,0.3364,0.3465,0
precipitacao,3,2004,MAM,0.3463,0.3634,0.2903,1
precipitacao,3,2005,MAM,0.3446,0.3406,0.3147,1
precipitacao,3,2006,MAM,0.3115,0.4296,0.2589,0
precipitacao,3,2007,MAM,0.3357,0.2833,0.3810,0
precipitacao,3,2008,MAM,0.3635,0.3744,0.2621,1
precipitacao,3,2009,MAM,0.3559,0.3249,0.3192,0
precipitacao,3,2010,MAM,0.3257,0.3604,0.3140,0
precipitacao,3,2011,MAM,0.3629,0.3751,0.2620,1
precipitacao,3,2012,MAM,0.3890,0.3124,0.2986,1
precipitacao,3,2013,MAM,0.3794,0.3644,0.2561,1
precipitacao,3,2014,MAM,0.3570,0.3668,0.2762,0
precipitacao,3,2015,MAM,0.3818,0.3163,0.3019,2
precipitacao,3,2016,MAM,0.3748,0.2375,0.3876,1
precipitacao,3,2017,MAM,0.3665,0.4200,0.2136,1
precipitacao,3,2018,MAM,0.3646,0.3817,0.2537,0
precipitacao,3,2019,MAM,0.3935,0.3228,0.2837,2
precipitacao,3,2020,MAM,0.2519,0.5321,0.2160,0
precipitacao,3,2021,MAM,0.3750,0.3622,0.2627,0
precipitacao,3,2022,MAM,0.3964,0.3452,0.2584,1
precipitacao,3,2023,MAM,0.3712,0.4242,0.2046,2
precipitacao,3,2024,MAM,0.3171,0.3249,0.3579,0
precipitacao,3,2025,MAM,0.3851,0.4021,0.2128,1
